ID,name,lat,lon
39000002,Altenburg 1,50.89733829288903,6.373546545334423
45900004,Eschweiler,50.814708635039956,6.288645325645717
29000002,Gem端nd,50.57771619876614,6.491249509256295
82000002,Haaren,50.79467937091515,6.129232511175562
28490001,Hellenthal,50.48262102845267,6.433030397569399
83000002,Herzogenrath 1,50.86651800123273,6.0948434179286926
84000002,Herzogenrath 2,50.866596415520426,6.097840773999606
88900002,Honsdorf,51.004773400589436,6.1817056225928715
51900002,J端lich Stadion,50.92488393312581,6.349347306025884
81000001,Kalkofen,50.782571008360605,6.111800954335162
27000002,Kall-Sportpl.,50.54492905389372,6.553717300972656
43000001,Kornelim端nster,50.72815788110363,6.183334858003321
53300001,Linnich 1,50.98072513355459,6.274923519373241
48900003,Luchem,50.8301504113737,6.371674912000248
15300002,Monschau,50.554546249006975,6.245620713699372
44500001,Mulartsh端tte,50.69081580134619,6.2100627446738095
89000002,Randerath,51.01494140567477,6.179431271060419
28690001,Reifferscheid,50.474716075482085,6.475205272403094
31000001,Rurberg,50.615189073899906,6.353967249692237
28700001,Schleiden,50.52482550454107,6.468390076622246
39000001,Selhausen,50.85964580181089,6.433563831842248
91000001,Stah,51.097893678663624,6.104512627589929
53490001,Welz,50.96177163116403,6.257332258298548
35000001,Zerkall 1,50.6927151774415,6.452315292951679
